sale_id,customer_id,product_id,quantity,sale_date,sale_amount,region
550,14562,958,5,2025-10-06,1693.30,East
669,15734,8,3,2025-08-11,2025.24,South
733,767,545,7,2025-08-24,2178.75,North
790,24464,293,3,2026-02-11,1282.62,East
795,27073,10,9,2026-01-12,1189.71,West
982,39800,238,5,2026-02-08,658.35,East
1113,183,398,10,2025-05-24,7507.80,North
1413,1194,440,6,2025-04-17,5955.60,East
1447,47176,573,7,2025-08-23,6747.93,West
1490,9734,785,10,2026-02-08,581.30,East
1819,29469,241,5,2025-04-19,4976.75,North
1970,8323,294,4,2025-04-24,1708.68,East
2028,39717,545,8,2025-09-05,4929.76,South
2088,24078,644,3,2026-02-12,2888.52,South
2142,15036,399,6,2026-02-21,1792.92,South
2569,1946,507,10,2025-10-02,6126.00,South
3063,44116,203,9,2026-01-22,7765.11,East
3130,40927,743,9,2025-07-14,7363.35,South
3311,1621,624,6,2025-03-12,5191.14,South
3345,26714,234,7,2026-02-05,1768.90,South
3564,5818,752,9,2025-04-26,992.07,East
3588,40556,736,5,2025-03-21,1730.70,East
4034,10282,87,3,2025-04-30,1552.86,North
4042,23937,470,10,2025-06-02,8415.10,North
4300,26789,823,6,2025-03-01,1026.42,North
4301,30360,296,8,2025-10-20,4368.72,South
4311,31712,384,5,2025-04-23,449.20,East
4455,6778,628,4,2025-12-11,4036.92,East
4584,16060,836,8,2025-03-30,4910.88,South
4830,20380,833,4,2025-07-27,116.72,South
4918,48665,996,2,2025-11-24,646.56,East
5486,49564,14,5,2025-11-19,361.75,South
5777,30138,445,4,2025-12-19,1859.68,South
6539,31535,858,5,2025-07-06,3015.25,North
6702,1738,256,1,2025-03-04,897.86,South
7063,28266,710,6,2025-07-07,2671.14,East
7230,12968,486,4,2025-08-15,1730.96,East
7233,19172,861,6,2025-08-21,697.32,North
7811,15552,162,2,2025-05-08,552.16,East
7903,1985,717,4,2025-09-27,1350.60,South
8003,12396,718,7,2025-10-30,1957.06,South
8255,18387,693,9,2025-10-28,671.22,South
8265,34740,455,5,2025-08-15,2071.10,South
8272,24828,131,2,2025-12-30,1798.06,East
8368,45555,680,6,2025-11-27,2958.84,East
8448,40037,683,5,2025-09-05,1271.90,North
8484,33409,254,3,2025-08-31,1703.46,East
8553,8986,647,4,2025-05-03,1184.44,East
8966,21899,109,6,2026-01-08,1289.46,North
8971,36207,128,7,2025-08-08,261.80,South
